0; 1.20644e-06
1; 1.20638e-06
2; 1.2063e-06
3; 1.20624e-06
4; 1.20619e-06
5; 1.20615e-06
6; 1.20611e-06
7; 1.20606e-06
8; 1.20602e-06
9; 1.2059e-06
10; 1.20585e-06
11; 1.20584e-06
12; 1.20577e-06
13; 1.20577e-06
14; 1.20567e-06
15; 1.20565e-06
16; 1.2056e-06
17; 1.20554e-06
18; 1.20546e-06
19; 1.20542e-06
20; 1.20533e-06
21; 1.20519e-06
22; 1.20506e-06
23; 1.20487e-06
24; 1.20482e-06
25; 1.20476e-06
26; 1.20472e-06
27; 1.20468e-06
28; 1.20465e-06
29; 1.20459e-06
30; 1.2045e-06
31; 1.20449e-06
32; 1.20444e-06
33; 1.20442e-06
34; 1.2044e-06
35; 1.2044e-06
36; 1.20437e-06
37; 1.20432e-06
38; 1.20421e-06
39; 1.20414e-06
40; 1.20409e-06
41; 1.20404e-06
42; 1.20396e-06
43; 1.20391e-06
44; 1.20386e-06
45; 1.20378e-06
46; 1.20374e-06
47; 1.20371e-06
48; 1.20362e-06
49; 1.20361e-06
50; 1.20337e-06
51; 1.20328e-06
52; 1.20323e-06
53; 1.20322e-06
54; 1.2032e-06
55; 1.20316e-06
56; 1.2031e-06
57; 1.20304e-06
58; 1.20296e-06
59; 1.20294e-06
60; 1.20279e-06
61; 1.20273e-06
62; 1.20267e-06
63; 1.20249e-06
64; 1.20236e-06
65; 1.20232e-06
66; 1.20226e-06
67; 1.20226e-06
68; 1.20223e-06
69; 1.20208e-06
70; 1.20208e-06
71; 1.20203e-06
72; 1.20202e-06
73; 1.20201e-06
74; 1.20195e-06
75; 1.20195e-06
76; 1.20188e-06
77; 1.20187e-06
78; 1.20184e-06
79; 1.20183e-06
80; 1.20175e-06
81; 1.20169e-06
82; 1.20161e-06
83; 1.20156e-06
84; 1.20154e-06
85; 1.20149e-06
86; 1.20144e-06
87; 1.20141e-06
88; 1.20138e-06
89; 1.20137e-06
90; 1.20133e-06
91; 1.20126e-06
92; 1.2012e-06
93; 1.20108e-06
94; 1.20105e-06
95; 1.20102e-06
96; 1.20095e-06
97; 1.2009e-06
98; 1.20085e-06
99; 1.20079e-06
100; 1.20073e-06
101; 1.2007e-06
102; 1.20069e-06
103; 1.20065e-06
104; 1.20054e-06
105; 1.20051e-06
106; 1.2003e-06
107; 1.20029e-06
108; 1.20029e-06
109; 1.20013e-06
110; 1.20003e-06
111; 1.19982e-06
112; 1.19975e-06
113; 1.1997e-06
114; 1.19966e-06
115; 1.19957e-06
116; 1.19952e-06
117; 1.19951e-06
118; 1.19944e-06
119; 1.1994e-06
120; 1.19933e-06
121; 1.19931e-06
122; 1.1993e-06
123; 1.19928e-06
124; 1.19927e-06
125; 1.19918e-06
126; 1.1991e-06
127; 1.19905e-06
128; 1.19901e-06
129; 1.19896e-06
130; 1.1989e-06
131; 1.19886e-06
132; 1.19873e-06
133; 1.19873e-06
134; 1.19869e-06
135; 1.19869e-06
136; 1.19856e-06
137; 1.19835e-06
138; 1.19827e-06
139; 1.19827e-06
140; 1.19823e-06
141; 1.19823e-06
142; 1.19808e-06
143; 1.19793e-06
144; 1.19791e-06
145; 1.19791e-06
146; 1.19774e-06
147; 1.19763e-06
148; 1.19763e-06
149; 1.19761e-06
150; 1.1976e-06
151; 1.19749e-06
152; 1.19746e-06
153; 1.19724e-06
154; 1.19721e-06
155; 1.19719e-06
156; 1.19711e-06
157; 1.19707e-06
158; 1.19703e-06
159; 1.197e-06
160; 1.197e-06
161; 1.19697e-06
162; 1.1969e-06
163; 1.19684e-06
164; 1.19684e-06
165; 1.19683e-06
166; 1.19678e-06
167; 1.19674e-06
168; 1.19674e-06
169; 1.19669e-06
170; 1.19662e-06
171; 1.19661e-06
172; 1.19657e-06
173; 1.19654e-06
174; 1.19648e-06
175; 1.19645e-06
176; 1.19638e-06
177; 1.19638e-06
178; 1.19634e-06
179; 1.19631e-06
180; 1.19623e-06
181; 1.19603e-06
182; 1.19601e-06
183; 1.19598e-06
184; 1.19582e-06
185; 1.19575e-06
186; 1.19571e-06
187; 1.19564e-06
188; 1.19558e-06
189; 1.19555e-06
190; 1.19552e-06
191; 1.19549e-06
192; 1.19538e-06
193; 1.19534e-06
194; 1.19526e-06
195; 1.19524e-06
196; 1.19521e-06
197; 1.19513e-06
198; 1.19488e-06
199; 1.19451e-06
200; 1.19451e-06
201; 1.19451e-06
202; 1.19447e-06
203; 1.19438e-06
204; 1.19438e-06
205; 1.19435e-06
206; 1.19425e-06
207; 1.19423e-06
208; 1.19423e-06
209; 1.19416e-06
210; 1.19416e-06
211; 1.19403e-06
212; 1.19399e-06
213; 1.19397e-06
214; 1.1939e-06
215; 1.19376e-06
216; 1.1937e-06
217; 1.19364e-06
218; 1.19343e-06
219; 1.1933e-06
220; 1.19329e-06
221; 1.19318e-06
222; 1.19315e-06
223; 1.19309e-06
224; 1.19303e-06
225; 1.19299e-06
226; 1.19297e-06
227; 1.19287e-06
228; 1.19282e-06
229; 1.19273e-06
230; 1.19261e-06
231; 1.19257e-06
232; 1.1925e-06
233; 1.19246e-06
234; 1.19229e-06
235; 1.19217e-06
236; 1.19205e-06
237; 1.19201e-06
238; 1.19194e-06
239; 1.19186e-06
240; 1.1918e-06
241; 1.19175e-06
242; 1.19172e-06
243; 1.19166e-06
244; 1.19165e-06
245; 1.19161e-06
246; 1.19157e-06
247; 1.19152e-06
248; 1.19151e-06
249; 1.19143e-06
250; 1.19134e-06
251; 1.19133e-06
252; 1.19128e-06
253; 1.19125e-06
